ticker,company,first_trade_date,annouce_date,new_shares,second_shares,share_outstandings,tranche_filing_high_range,tranche_filing_low_range,pricing_date,subsprition_start_date,subsprition_end_date,settlement_date,use_of_proceeds,banks,bank_roles,bank_quantity,bank_price,bank_fee,tranche_exchange,,,,,,,,,,,,,,,,,,,
329560,상상인이안제2호기업인수목적 주식회사,20190830,['20190718'],[-1],[-1],[600000],[-1],[-1],['20190816'],['20180820'],['20190821'],['20190823'],[],[['(주)상상인증권']],[['bookrunner']],[[3250000]],[[6500000000]],[[240000000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
195500,마니커에프앤지,20190820,['20190710'],[-1],[-1],[7700000],[4000],[3400],['20190805'],['20190807'],['20190808'],['20190812'],[],[['유진투자증권']],[['bookrunner']],[[2600000]],[[10400000000]],[[321360000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
328380,미래에셋대우기업인수목적3호 주식회사,20190820,['20190709'],[-1],[-1],[332000],[-1],[-1],['20190805'],['20190807'],['20190808'],['20190812'],[],[['미래에셋대우㈜']],[['bookrunner']],[['6150000']],[['12300000000']],[['369000000']],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
317830,주식회사 에스피시스템스,20190814,['20190705'],[-1],[-1],[5352600],[4900],[4300],['20190801'],['20190805'],['20190806'],['20190808'],[],[['한국투자증권']],[['lead_bookrunner']],[['2000000']],[['9800000000']],[['353290000']],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
282880,주식회사 코윈테크,20190805,['20190626'],[-1],[-1],[7000000],[34500],[28400],['20190723'],['20190725'],['20190726'],['20190729'],[],[['미래에셋대우']],[['bookrunner']],[['2000000']],[['69000000000']],[['2449999388']],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
327970,케어룸의료산업 주식회사,20190805,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,
317770,주식회사 슈프리마아이디,20190801,['20190625'],[-1],[-1],[2326600],[27000],[23000],['20190719'],['20190723'],['20190724'],['20190726'],[],[['한국투자증권']],[['bookrunner']],[[864000]],[[23328000000]],[[720835200]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
318000,한국바이오젠 주식회사,20190801,['20190625'],[-1],[-1],[5812500],[5700],[4700],['20190722'],['2019723'],['2019724'],['2019726'],[],[['미래에셋대우']],[['bookrunner']],[[1784500]],[[10707000000]],[[321210000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
148150,세경하이테크,20190730,['20190530'],[-1],[-1],[4800000],[52000],[46000],['20190719'],['20190722'],['20190723'],['20190725'],[],[['키움증권']],[['bookrunner']],[[800000]],[[28000000000]],[[1009400000]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
300080,플리토,20190717,['20190605'],[-1],[-1],[4131350],[23000],[19000],['20190705'],['20190708'],['20190709'],['20190711'],[],[['한국투자증권']],[['bookrunner']],[[1473486]],[[38310636000]],[[1768977990]],['KOSDAQ'],,,,,,,,,,,,,,,,,,,
323210,이베스트이안기업인수목적1호 주식회사,20190715,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,
329050,주식회사 구스앤홈,20190712,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,
